"data","type","time"
0.710932949504116,"Signal","0"
0.74303746605861,"Signal","0.025"
0.741408308192613,"Signal","0.05"
0.769277412080995,"Signal","0.075"
0.763916281894494,"Signal","0.1"
0.78120742695244,"Signal","0.125"
0.715859491651025,"Signal","0.15"
0.588971456653069,"Signal","0.175"
0.651066589382753,"Signal","0.2"
0.730058625573034,"Signal","0.225"
0.712326674303497,"Signal","0.25"
0.809903737679468,"Signal","0.275"
0.865421818933195,"Signal","0.3"
0.908928499978393,"Signal","0.325"
0.870307058969711,"Signal","0.35"
0.783033302300659,"Signal","0.375"
0.714549394164198,"Signal","0.4"
0.672015259776889,"Signal","0.425"
0.694756556971877,"Signal","0.45"
0.694567773785164,"Signal","0.475"
