"lower","upper","time"
0.0299057541387004,0.0994753657044957,"0"
0.0285878081385796,0.0946180419989868,"0.025"
0.018130261510261,0.0773456385763332,"0.05"
0.0237035474274354,0.0889217362565337,"0.075"
0.0258258152321844,0.0965332485598882,"0.1"
0.032655717359207,0.0969457330133426,"0.125"
0.032915109331927,0.105741033089859,"0.15"
0.0573554615900559,0.140587651690652,"0.175"
0.0660345667006829,0.149646623312669,"0.2"
0.0504355551016943,0.132634172582531,"0.225"
0.0488310299760279,0.122791484444407,"0.25"
0.0211049302989372,0.0783263204738993,"0.275"
0.0112041628453027,0.0547697495674354,"0.3"
0.00882100805381333,0.0488115467455633,"0.325"
0.0103716143711872,0.065115782646148,"0.35"
0.0320233185577856,0.10868850547011,"0.375"
0.0349134661499159,0.125044451977688,"0.4"
0.0576359148382591,0.161153922995714,"0.425"
0.0505156970132795,0.160129411970553,"0.45"
0.0351612983355395,0.144205441190239,"0.475"
