"lower","upper","time"
0.0572472579409134,0.196915524249257,"0"
0.0476506094657556,0.151070913307489,"0.025"
0.0681868023545265,0.205634408478338,"0.05"
0.056529675618882,0.180414932487526,"0.075"
0.0859380151911511,0.236228175412688,"0.1"
0.057528662883021,0.175907801659167,"0.125"
0.0478031460019682,0.166759050571755,"0.15"
0.0803390053624455,0.201685055463644,"0.175"
0.0940990440695058,0.219236386454563,"0.2"
0.0904392946668012,0.225208884649472,"0.225"
0.0880657757574966,0.211957348684256,"0.25"
0.0599188383251324,0.182300020729494,"0.275"
0.0313101417934478,0.125715971282476,"0.3"
0.0150027180377104,0.0846146605381589,"0.325"
0.0112145870371333,0.0821411219259484,"0.35"
0.0443430745367101,0.141512120677236,"0.375"
0.129558269971575,0.295466462374286,"0.4"
0.112659520485488,0.263236557616083,"0.425"
0.151326395997321,0.326737439602807,"0.45"
0.12550392328106,0.29165329217802,"0.475"
