"lower","upper","time"
0.0521256261371431,0.162359839984515,"0"
0.0596832870287396,0.161352984869375,"0.025"
0.0742609870968795,0.190694043584087,"0.05"
0.0667106002403765,0.177150425029001,"0.075"
0.0845867401450116,0.200928632699759,"0.1"
0.0604864249119472,0.157559186511203,"0.125"
0.0693672582741546,0.172256964474203,"0.15"
0.0920593241294749,0.196951065578285,"0.175"
0.099449600456031,0.204514485693407,"0.2"
0.0900918491838012,0.195817206080445,"0.225"
0.0774474427502437,0.172112624792791,"0.25"
0.0484949907634021,0.142088502834183,"0.275"
0.0281148751259219,0.104843974528864,"0.3"
0.0220026871155919,0.091309045263183,"0.325"
0.0366371220269524,0.125363098805093,"0.35"
0.0783266627409847,0.187675580732139,"0.375"
0.137891056465539,0.279214211082958,"0.4"
0.135350164610803,0.276115681274881,"0.425"
0.149272338635846,0.296942775022916,"0.45"
0.12230609016697,0.286183191121831,"0.475"
