"lower","upper","time"
0.0337868919135461,0.121601702803635,"0"
0.0287011983783499,0.0963700948822688,"0.025"
0.0176295372311932,0.083570012492054,"0.05"
0.0239185889004079,0.096303931577971,"0.075"
0.0224997389026044,0.103615441000283,"0.1"
0.0275893668007171,0.0970950252975742,"0.125"
0.0190569931482407,0.0865810448919195,"0.15"
0.0487233987087132,0.136820582824968,"0.175"
0.057781807467035,0.15383366269336,"0.2"
0.0460421276300836,0.141455234563255,"0.225"
0.0571011697696002,0.148005097534499,"0.25"
0.027688487897949,0.103928531339905,"0.275"
0.0142092603892101,0.0694473507221354,"0.3"
0.00847575020614556,0.0478998614083118,"0.325"
0.0035081815562547,0.0382049653151105,"0.35"
0.0245309820502403,0.0915001539484576,"0.375"
0.0159726226376215,0.0977574317845832,"0.4"
0.0556995846790222,0.161471651336645,"0.425"
0.0541051531927117,0.181703277214924,"0.45"
0.0371155761304397,0.149385514608832,"0.475"
