"Time","Observations","Pruning"
11.8369131088257,10,"    1 node"
12.2718000411987,10,"    1 node"
13.7520680427551,10,"    1 node"
14.488657951355,10,"    1 node"
14.252641916275,10,"    1 node"
11.5341799259186,10,"    1 node"
12.2083320617676,10,"    1 node"
12.5584299564362,10,"    1 node"
12.4623157978058,10,"    1 node"
12.9362308979034,10,"    1 node"
12.1238260269165,10,"    1 node"
12.4787080287933,10,"    1 node"
11.8371851444244,10,"    1 node"
12.3971569538116,10,"    1 node"
12.2821509838104,10,"    1 node"
12.5458180904388,10,"    1 node"
12.2920229434967,10,"    1 node"
12.1681561470032,10,"    1 node"
12.4461090564728,10,"    1 node"
12.2138650417328,10,"    1 node"
14.0039880275726,30,"    1 node"
13.8923411369324,30,"    1 node"
14.6914710998535,30,"    1 node"
14.6873829364777,30,"    1 node"
14.2271680831909,30,"    1 node"
14.6888971328735,30,"    1 node"
15.1356289386749,30,"    1 node"
14.365305185318,30,"    1 node"
14.2686851024628,30,"    1 node"
14.2296049594879,30,"    1 node"
14.359678030014,30,"    1 node"
13.9521298408508,30,"    1 node"
13.9045388698578,30,"    1 node"
14.0925259590149,30,"    1 node"
14.5863718986511,30,"    1 node"
14.2116630077362,30,"    1 node"
14.6846511363983,30,"    1 node"
14.5368659496307,30,"    1 node"
14.8386960029602,30,"    1 node"
14.7532122135162,30,"    1 node"
16.6796560287476,50,"    1 node"
16.3926520347595,50,"    1 node"
16.6970269680023,50,"    1 node"
16.5479371547699,50,"    1 node"
16.9171919822693,50,"    1 node"
16.351979970932,50,"    1 node"
16.1919300556183,50,"    1 node"
16.4696099758148,50,"    1 node"
15.7655568122864,50,"    1 node"
16.2353539466858,50,"    1 node"
15.9941589832306,50,"    1 node"
16.576868057251,50,"    1 node"
15.9317891597748,50,"    1 node"
16.3416130542755,50,"    1 node"
16.3384599685669,50,"    1 node"
16.5936708450317,50,"    1 node"
15.940239906311,50,"    1 node"
16.5044898986816,50,"    1 node"
16.3374760150909,50,"    1 node"
16.1416881084442,50,"    1 node"
14.7654378414154,10,"  10 nodes"
14.4804828166962,10,"  10 nodes"
17.8794679641724,10,"  10 nodes"
15.1809151172638,10,"  10 nodes"
16.4118390083313,10,"  10 nodes"
