"lower","upper","time"
0.241665408956516,0.744427942274954,"0"
0.195463867542286,0.652557695984965,"0.1"
0.233058107971007,0.662731633101166,"0.2"
0.557540973758969,0.741394956186082,"0.3"
0.0877794768181633,0.382360793158941,"0.4"
0.067518952995541,0.325372854794867,"0.5"
0.0825338418153091,0.38784551166211,"0.6"
0.121224457896412,0.485490481180406,"0.7"
0.267057863017914,0.620837168079615,"0.8"
0.366691273834574,0.695865025038491,"0.9"
0.142371604986851,0.50328431922673,"1"
0.138780309127397,0.592861461866678,"1.1"
