"Data","Type"
0.485299192859705,"Independent"
1.85059432958561,"Independent"
0.618934037142208,"Independent"
0.795338985523456,"Independent"
1.021466861157,"Independent"
2.27781486113594,"Independent"
1.16615926215769,"Independent"
1.41985188279991,"Independent"
2.67946070636345,"Independent"
0.420481053313396,"Independent"
0.963888568479735,"Independent"
0.831118043391977,"Independent"
0.656774818397984,"Independent"
1.70035554529755,"Independent"
0.517990869604989,"Independent"
1.544515724001,"Independent"
0.624400473370201,"Independent"
0.983676620718448,"Independent"
0.680474862732869,"Independent"
0.644154567400065,"Independent"
0.324598650672168,"Bootstrap"
0.760724115825547,"Bootstrap"
0.261316073777993,"Bootstrap"
0.462976154603653,"Bootstrap"
0.314409694627201,"Bootstrap"
0.71435442506032,"Bootstrap"
0.878779291898765,"Bootstrap"
0.923331784944887,"Bootstrap"
0.968888216746229,"Bootstrap"
0.344454405941041,"Bootstrap"
0.766774926669955,"Bootstrap"
0.565773381929043,"Bootstrap"
0.465508729591786,"Bootstrap"
0.394628679066348,"Bootstrap"
0.451542052401771,"Bootstrap"
0.9409871,"Bootstrap"
0.887252428210156,"Bootstrap"
0.545920553993065,"Bootstrap"
0.502938032733535,"Bootstrap"
0.725510280504311,"Bootstrap"
0.443047666430683,"Filter"
0.423131357878608,"Filter"
0.33278141020465,"Filter"
0.382997047976308,"Filter"
0.268357993700518,"Filter"
0.532740092603209,"Filter"
0.366335939053681,"Filter"
0.681303520804413,"Filter"
0.672816115234375,"Filter"
0.400928151755945,"Filter"
0.86255003495858,"Filter"
0.478407642175957,"Filter"
0.388795871565717,"Filter"
0.268076818496482,"Filter"
0.29198610520478,"Filter"
0.285223596484636,"Filter"
0.403016921943191,"Filter"
0.768758915995806,"Filter"
0.340158229732645,"Filter"
0.220700987652203,"Filter"
0.467688439785142,"Oracle Filter"
0.458995505023974,"Oracle Filter"
0.281752730795225,"Oracle Filter"
0.397487539539227,"Oracle Filter"
0.23145802780792,"Oracle Filter"
0.444457005212393,"Oracle Filter"
0.400962833614708,"Oracle Filter"
0.562146890120089,"Oracle Filter"
0.422271725385481,"Oracle Filter"
0.281133671219503,"Oracle Filter"
0.826600127989181,"Oracle Filter"
0.524079348486794,"Oracle Filter"
0.386226595844437,"Oracle Filter"
0.275139977361272,"Oracle Filter"
0.295494500643938,"Oracle Filter"
0.321718764876062,"Oracle Filter"
0.394265282994874,"Oracle Filter"
0.778489518344111,"Oracle Filter"
0.34910401205915,"Oracle Filter"
0.228490920912561,"Oracle Filter"
0.386479884695062,"Smoother"
0.435431182999454,"Smoother"
0.347406154185334,"Smoother"
0.340573345069173,"Smoother"
0.265689877418919,"Smoother"
0.446459201100361,"Smoother"
0.357861677711848,"Smoother"
0.528632897568379,"Smoother"
0.467881982956654,"Smoother"
0.445075635282667,"Smoother"
0.699391215937615,"Smoother"
0.58563497540884,"Smoother"
0.331379727823247,"Smoother"
0.233331814968073,"Smoother"
0.355542658032358,"Smoother"
0.289615709617739,"Smoother"
0.347532906988004,"Smoother"
0.430225390336687,"Smoother"
0.308450595594602,"Smoother"
0.190267275376865,"Smoother"
0.424367848812977,"Oracle Smoother"
0.506400476497568,"Oracle Smoother"
0.323819817370769,"Oracle Smoother"
0.34786093977985,"Oracle Smoother"
0.246694631444389,"Oracle Smoother"
0.471354229018468,"Oracle Smoother"
0.414161318009762,"Oracle Smoother"
0.433594458350423,"Oracle Smoother"
0.369941625328967,"Oracle Smoother"
0.480394807092812,"Oracle Smoother"
0.658563873272553,"Oracle Smoother"
0.719169995743267,"Oracle Smoother"
0.334478448487654,"Oracle Smoother"
0.237801847674117,"Oracle Smoother"
0.373784938930202,"Oracle Smoother"
0.425140454406961,"Oracle Smoother"
0.325435820013551,"Oracle Smoother"
0.471814002261034,"Oracle Smoother"
0.317035149113938,"Oracle Smoother"
0.206067019622854,"Oracle Smoother"
