"lower","upper","time"
0.568923196389469,0.814146071817606,"0"
0.665761769713403,0.850362232987442,"0.025"
0.663809624513041,0.841483599211688,"0.05"
0.661968574986471,0.837836466334594,"0.075"
0.624584976005178,0.807485729284486,"0.1"
0.653913058212699,0.83104195510648,"0.125"
0.696231803206406,0.864774216215669,"0.15"
0.562007248665707,0.753823492617699,"0.175"
0.565619669713601,0.756713422523236,"0.2"
0.533211404959867,0.733278192714799,"0.225"
0.538269878872006,0.733762309845915,"0.25"
0.647283938292762,0.827860526750839,"0.275"
0.760504393906215,0.910377979581205,"0.3"
0.826347421133369,0.954167190779461,"0.325"
0.864830439935553,0.971542458515348,"0.35"
0.736394890975418,0.890745296152981,"0.375"
0.609797165036829,0.796773294506953,"0.4"
0.532181692541624,0.731796685904663,"0.425"
0.5119486761787,0.71235767306295,"0.45"
0.552178903540483,0.748629590072915,"0.475"
