"lower","upper","time"
0.654239261826198,0.830417728514843,"0"
0.685484671300795,0.834692600951252,"0.025"
0.688767339361297,0.835137034881443,"0.05"
0.682343208069868,0.831029927544518,"0.075"
0.658350639616817,0.808067497774412,"0.1"
0.681347368103044,0.827750816088714,"0.125"
0.669439709749782,0.816272413801414,"0.15"
0.58266816012655,0.743355211239677,"0.175"
0.575948437495405,0.737763625203918,"0.2"
0.58543389638266,0.745497114814111,"0.225"
0.635153053683216,0.789065161500657,"0.25"
0.734808898411884,0.870012627504788,"0.275"
0.813937707180653,0.926821134971754,"0.3"
0.840400117235976,0.942382263755607,"0.325"
0.807020144720231,0.922932119818943,"0.35"
0.696694387139906,0.83772701986503,"0.375"
0.593669988687754,0.754979930210574,"0.4"
0.544516998881756,0.712012633251195,"0.425"
0.549628785128075,0.722444327934206,"0.45"
0.561966903677463,0.753406437355094,"0.475"
