"Score","Observations","Pruning"
0.324629212359098,10,"    1 node"
0.379994544472236,10,"    1 node"
0.293704227009685,10,"    1 node"
0.280847653117237,10,"    1 node"
0.52817843564906,10,"    1 node"
1.23005976415279,10,"    1 node"
0.418359555900573,10,"    1 node"
0.249617923686009,10,"    1 node"
0.425151109975446,10,"    1 node"
0.286058564470958,10,"    1 node"
0.58544191226792,10,"    1 node"
0.886913100900537,10,"    1 node"
0.839473159963328,10,"    1 node"
0.332455793666094,10,"    1 node"
0.801054868354727,10,"    1 node"
0.32030576547861,10,"    1 node"
0.43847637829262,10,"    1 node"
0.411626827881754,10,"    1 node"
0.345432927277888,10,"    1 node"
0.265898932155457,10,"    1 node"
0.634990325195652,30,"    1 node"
0.323301262245882,30,"    1 node"
0.291925145646374,30,"    1 node"
0.234639324299438,30,"    1 node"
0.300820117038626,30,"    1 node"
0.174982177897864,30,"    1 node"
0.209672492189958,30,"    1 node"
0.330395261432923,30,"    1 node"
0.540122532065478,30,"    1 node"
0.21962561095868,30,"    1 node"
0.266844690549488,30,"    1 node"
0.247588442712019,30,"    1 node"
0.476311958445213,30,"    1 node"
0.299177424626867,30,"    1 node"
0.201421424681059,30,"    1 node"
0.282111542822834,30,"    1 node"
0.175718630995213,30,"    1 node"
0.237046720201373,30,"    1 node"
0.230501420943152,30,"    1 node"
0.179540385827642,30,"    1 node"
0.204604856938441,50,"    1 node"
0.132127213002797,50,"    1 node"
0.165147360780135,50,"    1 node"
0.367298907896302,50,"    1 node"
0.18495824422345,50,"    1 node"
0.156046522814571,50,"    1 node"
0.516012376968707,50,"    1 node"
0.317685666332144,50,"    1 node"
0.244026740964143,50,"    1 node"
0.178280473038562,50,"    1 node"
0.522477911586934,50,"    1 node"
0.324737693157688,50,"    1 node"
0.211683088133779,50,"    1 node"
0.216885952674417,50,"    1 node"
0.222991083257116,50,"    1 node"
0.145718787361372,50,"    1 node"
0.505774783688119,50,"    1 node"
0.152344094623154,50,"    1 node"
0.179516965673611,50,"    1 node"
0.201799849320065,50,"    1 node"
0.349391649059179,10,"  10 nodes"
0.40698581138841,10,"  10 nodes"
0.298079296416355,10,"  10 nodes"
0.297068019845961,10,"  10 nodes"
0.421356876899812,10,"  10 nodes"
0.960221364214809,10,"  10 nodes"
0.439375484638466,10,"  10 nodes"
0.253703793987641,10,"  10 nodes"
0.448006951473717,10,"  10 nodes"
0.294526916059729,10,"  10 nodes"
0.576035381328596,10,"  10 nodes"
0.77836277823608,10,"  10 nodes"
0.46928652860577,10,"  10 nodes"
0.353113274620854,10,"  10 nodes"
0.817498511808066,10,"  10 nodes"
0.343025912176063,10,"  10 nodes"
0.438851219805844,10,"  10 nodes"
0.40996591242952,10,"  10 nodes"
0.366720999404081,10,"  10 nodes"
0.27429367661087,10,"  10 nodes"
0.452680299777062,30,"  10 nodes"
0.328470854462359,30,"  10 nodes"
0.328094822217786,30,"  10 nodes"
0.237835301554999,30,"  10 nodes"
0.305369380844954,30,"  10 nodes"
0.178424340029685,30,"  10 nodes"
0.209958321303051,30,"  10 nodes"
0.377975084441292,30,"  10 nodes"
0.547670024068072,30,"  10 nodes"
0.225796599790114,30,"  10 nodes"
0.273035536505553,30,"  10 nodes"
0.254611102453746,30,"  10 nodes"
0.48736808967956,30,"  10 nodes"
0.306106763492189,30,"  10 nodes"
0.214087452654652,30,"  10 nodes"
0.246049919951945,30,"  10 nodes"
0.166884378021938,30,"  10 nodes"
0.233501802827343,30,"  10 nodes"
0.237531283131357,30,"  10 nodes"
0.174756373752038,30,"  10 nodes"
0.159381480957147,50,"  10 nodes"
0.133722806876409,50,"  10 nodes"
0.16910495201698,50,"  10 nodes"
0.35198333400463,50,"  10 nodes"
0.162437075535538,50,"  10 nodes"
0.158869752184861,50,"  10 nodes"
0.473968315550327,50,"  10 nodes"
0.335468692201523,50,"  10 nodes"
0.245034456339488,50,"  10 nodes"
0.206646506526445,50,"  10 nodes"
0.493586368009109,50,"  10 nodes"
0.28541308482289,50,"  10 nodes"
0.21397600144427,50,"  10 nodes"
0.217147075551605,50,"  10 nodes"
0.248612759094729,50,"  10 nodes"
0.147420706536505,50,"  10 nodes"
0.545638917176223,50,"  10 nodes"
0.156066950751093,50,"  10 nodes"
0.183325899940497,50,"  10 nodes"
0.186994791297972,50,"  10 nodes"
0.362306429988668,10,"100 nodes"
0.417120287950987,10,"100 nodes"
0.306710891447421,10,"100 nodes"
0.305188241114971,10,"100 nodes"
0.425859854438495,10,"100 nodes"
0.670780502816258,10,"100 nodes"
0.447160275835034,10,"100 nodes"
0.259673441081384,10,"100 nodes"
0.382169032859036,10,"100 nodes"
0.297801959452491,10,"100 nodes"
0.539731903502434,10,"100 nodes"
0.774689945807008,10,"100 nodes"
0.439672077026254,10,"100 nodes"
0.361763238769032,10,"100 nodes"
0.742320358427386,10,"100 nodes"
0.34931909268171,10,"100 nodes"
0.443874402898437,10,"100 nodes"
0.42921045910747,10,"100 nodes"
0.37598370861999,10,"100 nodes"
0.281912850852887,10,"100 nodes"
0.361554194576836,30,"100 nodes"
0.334492528056505,30,"100 nodes"
0.352891985964166,30,"100 nodes"
0.240515884905328,30,"100 nodes"
0.306846646596556,30,"100 nodes"
0.182639056204155,30,"100 nodes"
0.215984973975831,30,"100 nodes"
0.344310352037844,30,"100 nodes"
0.550705469755506,30,"100 nodes"
0.231772518484834,30,"100 nodes"
0.278317781893569,30,"100 nodes"
0.25776410912011,30,"100 nodes"
0.477751406603743,30,"100 nodes"
0.312702167739474,30,"100 nodes"
0.220925317959535,30,"100 nodes"
0.25098459453503,30,"100 nodes"
0.175447416683045,30,"100 nodes"
